Instance,matrix_Time,matrix_Solutions,matrix_Decisions
sppnw09,TO,TO,TO
sppnw10,11.366,318168,-
sppnw11,TO,TO,TO
sppnw12,1.369,496333530,-
sppnw13,MEMOUT,MEMOUT,MEMOUT
sppnw14,TO,TO,TO
sppnw15,1.084,46,-
sppnw16,TO,TO,TO
sppnw17,TO,TO,TO
sppnw18,MEMOUT,MEMOUT,MEMOUT
sppnw19,TO,TO,TO
sppnw20,24.799,538696,-
sppnw21,15.092,291047,-
sppnw22,18.069,286758,-
sppnw23,5.978,80524,-
sppnw24,188.723,725183,-
sppnw25,369.501,2225105,-
sppnw26,21.010,805896,-
sppnw27,84.242,1046161,-
sppnw28,14.858,20117,-
sppnw29,TO,TO,TO
sppnw30,TO,TO,TO
sppnw31,TO,TO,TO
sppnw32,1.858,127126,-
sppnw33,TO,TO,TO
sppnw34,66.441,977866,-
sppnw35,93.180,184967,-
sppnw36,111.438,25474,-
sppnw37,88.501,3740550,-
sppnw38,32.856,221108,-
sppnw39,27.632,737597,-
sppnw40,5.443,298956,-
sppnw41,1.136,163155,-
sppnw42,27.607,230326,-
sppnw43,983.812,5442901,-
sppus02,TO,TO,TO
sppus03,TO,TO,TO
sppus04,TO,TO,TO
sts15-blk-00001,0.104,576,-
sts15-blk-00002,0.121,288,-
sts15-blk-00003,0.029,144,-
sts15-blk-00004,0.068,144,-
sts15-blk-00005,0.007,0,-
sts15-blk-00006,0.039,40,-
sts15-blk-00007,0.023,8,-
sts15-blk-00008,0.062,40,-
sts15-blk-00009,0.020,8,-
sts15-blk-00010,0.083,64,-
sts15-blk-00011,0.031,8,-
sts15-blk-00012,0.054,16,-
sts15-blk-00013,0.027,8,-
sts15-blk-00014,0.022,0,-
sts15-blk-00015,0.008,0,-
sts15-blk-00016,0.014,0,-
sts15-blk-00017,0.034,16,-
sts15-blk-00018,0.041,8,-
sts15-blk-00019,0.028,32,-
sts15-blk-00020,0.051,28,-
sts15-blk-00021,0.069,40,-
sts15-blk-00022,0.054,24,-
sts15-blk-00023,0.018,20,-
sts15-blk-00024,0.034,16,-
sts15-blk-00025,0.041,20,-
sts15-blk-00026,0.066,40,-
sts15-blk-00027,0.027,40,-
sts15-blk-00028,0.058,24,-
sts15-blk-00029,0.034,16,-
sts15-blk-00030,0.045,20,-
sts15-blk-00031,0.036,20,-
sts15-blk-00032,0.023,24,-
sts15-blk-00033,0.037,48,-
sts15-blk-00034,0.037,24,-
sts15-blk-00035,0.044,48,-
sts15-blk-00036,0.041,16,-
sts15-blk-00037,0.026,8,-
sts15-blk-00038,0.026,8,-
sts15-blk-00039,0.045,24,-
sts15-blk-00040,0.049,32,-
sts15-blk-00041,0.011,0,-
sts15-blk-00042,0.041,24,-
sts15-blk-00043,0.018,24,-
sts15-blk-00044,0.033,24,-
sts15-blk-00045,0.037,20,-
sts15-blk-00046,0.017,24,-
sts15-blk-00047,0.031,20,-
sts15-blk-00048,0.041,28,-
sts15-blk-00049,0.029,0,-
sts15-blk-00050,0.018,16,-
sts15-blk-00051,0.009,0,-
sts15-blk-00052,0.011,0,-
sts15-blk-00053,0.078,48,-
sts15-blk-00054,0.031,20,-
sts15-blk-00055,0.043,28,-
sts15-blk-00056,0.024,20,-
sts15-blk-00057,0.029,24,-
sts15-blk-00058,0.038,16,-
sts15-blk-00059,0.042,36,-
sts15-blk-00060,0.019,16,-
sts15-blk-00061,0.037,24,-
sts15-blk-00062,0.028,24,-
sts15-blk-00063,0.044,192,-
sts15-blk-00064,0.068,144,-
sts15-blk-00065,0.038,96,-
sts15-blk-00066,0.068,288,-
sts15-blk-00067,0.029,24,-
sts15-blk-00068,0.038,28,-
sts15-blk-00069,0.026,16,-
sts15-blk-00070,0.036,36,-
sts15-blk-00071,0.034,20,-
sts15-blk-00072,0.035,16,-
sts15-blk-00073,0.033,20,-
sts15-blk-00074,0.038,16,-
sts15-blk-00075,0.064,20,-
sts15-blk-00076,0.051,16,-
sts15-blk-00077,0.030,20,-
sts15-blk-00078,0.035,20,-
sts15-blk-00079,0.035,36,-
sts15-blk-00080,0.036,16,-
sts15-blk-00081,0.049,20,-
sts15-blk-00082,0.040,24,-
sts15-blk-00083,0.007,0,-
sts15-blk-00084,0.038,16,-
sts15-blk-00085,0.024,32,-
sts15-blk-00086,0.026,8,-
sts15-blk-00087,0.060,48,-
sts15-blk-00088,0.023,16,-
sts15-blk-00089,0.031,20,-
sts15-blk-00090,0.023,48,-
sts15-blk-00091,0.055,24,-
sts15-blk-00092,0.015,24,-
sts15-blk-00093,0.021,32,-
sts15-blk-00094,0.015,8,-
sts15-blk-00095,0.030,16,-
sts15-blk-00096,0.025,24,-
sts15-blk-00097,0.034,12,-
sts15-blk-00098,0.028,24,-
sts15-blk-00099,0.025,20,-
sts15-blk-00100,0.049,28,-
sts15-blk-00101,0.017,20,-
sts15-blk-00102,0.027,24,-
sts15-blk-00103,0.017,8,-
sts15-blk-00104,0.037,20,-
sts15-blk-00105,0.056,24,-
sts15-blk-00106,0.027,20,-
sts15-blk-00107,0.044,24,-
sts15-blk-00108,0.049,64,-
sts15-blk-00109,0.049,32,-
sts15-blk-00110,0.053,48,-
sts15-blk-00111,0.050,24,-
sts15-blk-00112,0.029,16,-
sts15-blk-00113,0.006,0,-
sts15-blk-00114,0.026,0,-
sts15-blk-00115,0.031,24,-
sts15-blk-00116,0.032,16,-
sts15-blk-00117,0.004,0,-
sts15-blk-00118,0.027,0,-
sts15-blk-00119,0.034,16,-
sts15-blk-00120,0.041,24,-
sts15-blk-00121,0.038,20,-
sts15-blk-00122,0.028,0,-
sts15-blk-00123,0.009,0,-
sts15-blk-00124,0.010,0,-
sts15-blk-00125,0.027,16,-
sts15-blk-00126,0.034,24,-
sts15-blk-00127,0.011,0,-
sts15-blk-00128,0.035,24,-
sts15-blk-00129,0.058,40,-
sts15-blk-00130,0.014,12,-
sts15-blk-00131,0.041,24,-
sts15-blk-00132,0.032,28,-
sts15-blk-00133,0.029,20,-
sts15-blk-00134,0.049,28,-
sts15-blk-00135,0.040,28,-
sts15-blk-00136,0.038,16,-
sts15-blk-00137,0.029,16,-
sts15-blk-00138,0.036,20,-
sts15-blk-00139,0.006,0,-
sts15-blk-00140,0.058,48,-
sts15-blk-00141,0.028,20,-
sts15-blk-00142,0.018,20,-
sts15-blk-00143,0.031,16,-
sts15-blk-00144,0.059,16,-
sts15-blk-00145,0.017,24,-
sts15-blk-00146,0.047,28,-
sts15-blk-00147,0.039,28,-
sts15-blk-00148,0.020,28,-
sts15-blk-00149,0.035,24,-
sts15-blk-00150,0.034,16,-
sts15-blk-00151,0.053,28,-
sts15-blk-00152,0.047,24,-
sts15-blk-00153,0.068,64,-
sts15-blk-00154,0.035,40,-
sts15-blk-00155,0.043,40,-
sts15-blk-00156,0.016,8,-
sts15-blk-00157,0.038,24,-
sts19-blk-00001,TO,TO,TO
sts19-blk-00002,TO,TO,TO
sts19-blk-00003,TO,TO,TO
sts19-blk-00004,TO,TO,TO
sts19-blk-00005,TO,TO,TO
sts19-blk-00006,TO,TO,TO
sts19-blk-00007,TO,TO,TO
sts19-blk-00008,TO,TO,TO
sts19-blk-00009,TO,TO,TO
sts19-blk-00010,TO,TO,TO
sts19-blk-00011,TO,TO,TO
sts19-blk-00012,TO,TO,TO
sts19-blk-00013,TO,TO,TO
sts19-blk-00014,TO,TO,TO
sts19-blk-00015,TO,TO,TO
sts19-blk-00016,TO,TO,TO
sts19-blk-00017,TO,TO,TO
sts19-blk-00018,TO,TO,TO
sts19-blk-00019,TO,TO,TO
sts19-blk-00020,TO,TO,TO
sts19-blk-00021,TO,TO,TO
sts19-blk-00022,TO,TO,TO
sts19-blk-00023,TO,TO,TO
sts19-blk-00024,TO,TO,TO
sts19-blk-00025,TO,TO,TO
sts19-blk-00026,TO,TO,TO
sts19-blk-00027,TO,TO,TO
sts19-blk-00028,TO,TO,TO
sts19-blk-00029,TO,TO,TO
sts19-blk-00030,TO,TO,TO
sts19-blk-00031,TO,TO,TO
sts19-blk-00032,TO,TO,TO
sts19-blk-00033,TO,TO,TO
sts19-blk-00034,TO,TO,TO
sts19-blk-00035,TO,TO,TO
sts19-blk-00036,TO,TO,TO
sts19-blk-00037,TO,TO,TO
sts19-blk-00038,TO,TO,TO
sts19-blk-00039,TO,TO,TO
sts19-blk-00040,TO,TO,TO
sts19-blk-00041,TO,TO,TO
sts19-blk-00042,TO,TO,TO
sts19-blk-00043,TO,TO,TO
sts19-blk-00044,TO,TO,TO
sts19-blk-00045,TO,TO,TO
sts19-blk-00046,TO,TO,TO
sts19-blk-00047,TO,TO,TO
sts19-blk-00048,TO,TO,TO
sts19-blk-00049,TO,TO,TO
sts19-blk-00050,TO,TO,TO
sts19-blk-00051,TO,TO,TO
sts19-blk-00052,TO,TO,TO
sts19-blk-00053,TO,TO,TO
sts19-blk-00054,TO,TO,TO
sts19-blk-00055,TO,TO,TO
sts19-blk-00056,TO,TO,TO
sts19-blk-00057,TO,TO,TO
sts19-blk-00058,TO,TO,TO
sts19-blk-00059,TO,TO,TO
sts19-blk-00060,TO,TO,TO
sts19-blk-00061,TO,TO,TO
sts19-blk-00062,TO,TO,TO
sts19-blk-00063,TO,TO,TO
sts19-blk-00064,TO,TO,TO
sts19-blk-00065,TO,TO,TO
sts19-blk-00066,TO,TO,TO
sts19-blk-00067,TO,TO,TO
sts19-blk-00068,TO,TO,TO
sts19-blk-00069,TO,TO,TO
sts19-blk-00070,TO,TO,TO
sts19-blk-00071,TO,TO,TO
sts19-blk-00072,TO,TO,TO
sts19-blk-00073,TO,TO,TO
sts19-blk-00074,TO,TO,TO
sts19-blk-00075,TO,TO,TO
sts19-blk-00076,TO,TO,TO
sts19-blk-00077,TO,TO,TO
sts19-blk-00078,TO,TO,TO
sts19-blk-00079,TO,TO,TO
sts19-blk-00080,TO,TO,TO
sts19-blk-00081,TO,TO,TO
sts19-blk-00082,TO,TO,TO
sts19-blk-00083,TO,TO,TO
sts19-blk-00084,TO,TO,TO
sts19-blk-00085,TO,TO,TO
sts19-blk-00086,TO,TO,TO
sts19-blk-00087,TO,TO,TO
sts19-blk-00088,TO,TO,TO
sts19-blk-00089,TO,TO,TO
sts19-blk-00090,TO,TO,TO
sts19-blk-00091,TO,TO,TO
sts19-blk-00092,TO,TO,TO
sts19-blk-00093,TO,TO,TO
sts19-blk-00094,TO,TO,TO
sts19-blk-00095,TO,TO,TO
sts19-blk-00096,TO,TO,TO
sts19-blk-00097,TO,TO,TO
sts19-blk-00098,TO,TO,TO
sts19-blk-00099,TO,TO,TO
sts19-blk-00100,TO,TO,TO
sts19-blk-00101,TO,TO,TO
sts19-blk-00102,TO,TO,TO
sts19-blk-00103,TO,TO,TO
sts19-blk-00104,TO,TO,TO
sts19-blk-00105,TO,TO,TO
sts19-blk-00106,TO,TO,TO
sts19-blk-00107,TO,TO,TO
sts19-blk-00108,TO,TO,TO
sts19-blk-00109,TO,TO,TO
sts19-blk-00110,TO,TO,TO
sts19-blk-00111,TO,TO,TO
sts19-blk-00112,TO,TO,TO
sts19-blk-00113,TO,TO,TO
sts19-blk-00114,TO,TO,TO
sts19-blk-00115,TO,TO,TO
sts19-blk-00116,TO,TO,TO
sts19-blk-00117,TO,TO,TO
sts19-blk-00118,TO,TO,TO
sts19-blk-00119,TO,TO,TO
sts19-blk-00120,TO,TO,TO
sts19-blk-00121,TO,TO,TO
sts19-blk-00122,TO,TO,TO
sts19-blk-00123,TO,TO,TO
sts19-blk-00124,TO,TO,TO
sts19-blk-00125,TO,TO,TO
sts19-blk-00126,TO,TO,TO
sts19-blk-00127,TO,TO,TO
sts19-blk-00128,TO,TO,TO
sts19-blk-00129,TO,TO,TO
sts19-blk-00130,TO,TO,TO
sts19-blk-00131,TO,TO,TO
sts19-blk-00132,TO,TO,TO
sts19-blk-00133,TO,TO,TO
sts19-blk-00134,TO,TO,TO
sts19-blk-00135,TO,TO,TO
sts19-blk-00136,TO,TO,TO
sts19-blk-00137,TO,TO,TO
sts19-blk-00138,TO,TO,TO
sts19-blk-00139,TO,TO,TO
sts19-blk-00140,TO,TO,TO
sts19-blk-00141,TO,TO,TO
sts19-blk-00142,TO,TO,TO
sts19-blk-00143,TO,TO,TO
sts19-blk-00144,TO,TO,TO
sts19-blk-00145,TO,TO,TO
sts19-blk-00146,TO,TO,TO
sts19-blk-00147,TO,TO,TO
sts19-blk-00148,TO,TO,TO
sts19-blk-00149,TO,TO,TO
sts19-blk-00150,TO,TO,TO
sts19-blk-00151,TO,TO,TO
sts19-blk-00152,TO,TO,TO
sts19-blk-00153,TO,TO,TO
sts19-blk-00154,TO,TO,TO
sts19-blk-00155,TO,TO,TO
sts19-blk-00156,TO,TO,TO
sts19-blk-00157,TO,TO,TO
sts19-blk-00158,TO,TO,TO
sts19-blk-00159,TO,TO,TO
sts19-blk-00160,TO,TO,TO
sts19-blk-00161,TO,TO,TO
sts19-blk-00162,TO,TO,TO
sts19-blk-00163,TO,TO,TO
sts19-blk-00164,TO,TO,TO
sts19-blk-00165,TO,TO,TO
sts19-blk-00166,TO,TO,TO
sts19-blk-00167,TO,TO,TO
sts19-blk-00168,TO,TO,TO
sts19-blk-00169,TO,TO,TO
sts19-blk-00170,TO,TO,TO
sts19-blk-00171,TO,TO,TO
sts19-blk-00172,TO,TO,TO
sts19-blk-00173,TO,TO,TO
sts19-blk-00174,TO,TO,TO
sts19-blk-00175,TO,TO,TO
sts19-blk-00176,TO,TO,TO
sts19-blk-00177,TO,TO,TO
sts19-blk-00178,TO,TO,TO
sts19-blk-00179,TO,TO,TO
sts19-blk-00180,TO,TO,TO
sts19-blk-00181,TO,TO,TO
sts19-blk-00182,TO,TO,TO
sts19-blk-00183,TO,TO,TO
sts19-blk-00184,TO,TO,TO
sts19-blk-00185,TO,TO,TO
sts19-blk-00186,TO,TO,TO
sts19-blk-00187,TO,TO,TO
sts19-blk-00188,TO,TO,TO
sts19-blk-00189,TO,TO,TO
sts19-blk-00190,TO,TO,TO
sts19-blk-00191,TO,TO,TO
sts19-blk-00192,TO,TO,TO
sts19-blk-00193,TO,TO,TO
sts19-blk-00194,TO,TO,TO
sts19-blk-00195,TO,TO,TO
sts19-blk-00196,TO,TO,TO
sts19-blk-00197,TO,TO,TO
sts19-blk-00198,TO,TO,TO
sts19-blk-00199,TO,TO,TO
sts19-blk-00200,TO,TO,TO
tetrominoes_4x5,0.422,454,-
tetrominoes_4x7,0.867,9157,-
tetrominoes_6x6,14.474,178939,-
tetrominoes_6x8,273.036,22483347,-
tetrominoes_8x8,TO,TO,TO
